🕘️更新时间,#genre#
2026-03-14 11:10:38,https://d862cp.cdnedge.live/file/avple-images/hls/628ab8aaa1c1cd0b44683eff/playlist.m3u8

📺央视频道,#genre#
CCTV-1,https://d862cp.cdnedge.live/file/avple-images/hls/628ab8aaa1c1cd0b44683eff/playlist.m3u8
CCTV-1,https://q2cyl7.cdnedge.live/file/avple-images/hls/62d942bf68c56e095b085c4a/playlist.m3u8
CCTV-1,https://q2cyl7.cdnedge.live/file/avple-images/hls/62dabb9817262b38dbe62b9a/playlist.m3u8
CCTV-1,https://zo392.cdnedge.live/file/avple-images/hls/61584c9d4617d9667f1fa688/playlist.m3u8
CCTV-1,https://je40u.cdnedge.live/file/avple-images/hls/630e85fec7dee322f1acb090/playlist.m3u8
CCTV-2,https://d862cp.cdnedge.live/file/avple-images/hls/628ab8aaa1c1cd0b44683eff/playlist.m3u8
CCTV-2,https://q2cyl7.cdnedge.live/file/avple-images/hls/62d942bf68c56e095b085c4a/playlist.m3u8
CCTV-2,https://q2cyl7.cdnedge.live/file/avple-images/hls/62dabb9817262b38dbe62b9a/playlist.m3u8
CCTV-2,https://zo392.cdnedge.live/file/avple-images/hls/61584c9d4617d9667f1fa688/playlist.m3u8
CCTV-2,https://je40u.cdnedge.live/file/avple-images/hls/630e85fec7dee322f1acb090/playlist.m3u8
CCTV-3,https://d862cp.cdnedge.live/file/avple-images/hls/628ab8aaa1c1cd0b44683eff/playlist.m3u8
CCTV-3,https://q2cyl7.cdnedge.live/file/avple-images/hls/62d942bf68c56e095b085c4a/playlist.m3u8
CCTV-3,https://q2cyl7.cdnedge.live/file/avple-images/hls/62dabb9817262b38dbe62b9a/playlist.m3u8
CCTV-3,https://zo392.cdnedge.live/file/avple-images/hls/61584c9d4617d9667f1fa688/playlist.m3u8
CCTV-3,https://je40u.cdnedge.live/file/avple-images/hls/630e85fec7dee322f1acb090/playlist.m3u8
CCTV-4,https://d862cp.cdnedge.live/file/avple-images/hls/628ab8aaa1c1cd0b44683eff/playlist.m3u8
CCTV-4,https://q2cyl7.cdnedge.live/file/avple-images/hls/62d942bf68c56e095b085c4a/playlist.m3u8
CCTV-4,https://q2cyl7.cdnedge.live/file/avple-images/hls/62dabb9817262b38dbe62b9a/playlist.m3u8
CCTV-4,https://zo392.cdnedge.live/file/avple-images/hls/61584c9d4617d9667f1fa688/playlist.m3u8
CCTV-4,https://je40u.cdnedge.live/file/avple-images/hls/630e85fec7dee322f1acb090/playlist.m3u8
